ID Number,Kaltura ID,Accession Number,Title,Description,Filename
AFR_video_380_8,1_t6lte9wy,3352275,"Video Eight Part I Continuation of 4:00pm -- 6:00pm Session Saturday: September 20, 1997; Part II 7:30 p.m.",Sheila S. Walker;,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_380_8.mp4
AFR_video_380_9,1_ke0hctyb,3352275,"Video Nine Continuation of 7:30pm Saturday: September 20, 1997 7:30 p.m. ",Sheila S. Walker;,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_380_9.mp4
AFR_video_386,1_r1rl4gpr,3380998,"Bobby Seale- From the '60s through the '80s: The Struggle Continues""",Bobby Seale,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_386.mp4
AFR_video_391,1_pf3dsjt0,3443074,"Dr. Ivan Van Sertima lecture at AS&RC, Cornell University, author of ""They Came before Columbus"" and ""Blacks in Science"" ",Dr. Ivan Van Sertima,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_391.mp4
AFR_video_402,1_8josskc7,3481380,AS&RC Conference Tape 13: Minister Louis Farrakhan,Minister Louis Farrakhan,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_402.mp4
AFR_video_413_1,1_umnj7kyi,3652078,John Henri Clarke: Baptist Ministers Conference,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_413_1.mp4
AFR_video_413_2,1_4kb6sugw,3652078,John Henri Clarke: Memorial Service,"feat. Rev Al Sharpton, Wesley Snipes",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_413_2.mp4
AFR_video_413_3,1_cynu1734,3652078,John Henri Clarke: Memorial Service (cont.)/Going Home-Win Christ Productions,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_413_3.mp4
AFR_video_432_1_2,1_478l4b30,3894560,In the Struggle,Elizabeth Hunter,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_432_1_2.mp4
AFR_video_432_2_2,1_gled54kg,3894560,"In the Struggle:Reunion of students from ""Willard Straight Takeover""",Elizabeth Hunter,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_432_2_2.mp4
AFR_video_538,1_95hw6hca,4584642,Are You Listening: Welfare Mothers;Are You Listening: Woodlawn Sisterhood,"host, Martha Stewart",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_538.mp4
AFR_video_548,1_xlu4vlk3,4732334,"State of Black America Conference: Fulfilling the Pan-African Promise, African Spirituality-ben-Jochannan: Religious Aspects of Pan-Africanism- Father Lawrence Lucaus",Ben Jochannan;Father Lawrence Lucaus,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_548.mp4
AFR_video_564,1_pbaxecmg,4861492,AS&RC Conference Tape 3: Dr. James Turner; Dr. Johnella Butler; Prof. Ewart Guinier,Dr. James Turner; Dr. Johnella Butler; Prof. Ewart Guinier,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_564.mp4
AFR_video_565,1_vxg82af4,4861518,AS&RC Conference Tape 4: Dr. Tilden J. LeMelle; Dr. William E. Nelson; Dr. Shirley N. Weber,Dr. Tilden J. LeMelle; Dr. William E. Nelson; Dr. Shirley N. Weber,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_565.mp4
AFR_video_566,1_fapfvk38,4861535,AS&RC Conference Tape 5: Moderator: Prof. J. Congress Mbata; Prof. Ibrahim K. Sundiata; Prof. Ivan Sertima,Prof. J. Congress Mbata; Prof. Ibrahim K. Sundiata; Prof. Ivan Sertima,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_566.mp4
AFR_video_567,1_9yblc63w,4861560,AS&RC Conference Tape 6: Prof. Ivan Sertima; Prof. Dr. Lansine Kaba (book party); Hoyt Fuller,Prof. Ivan Sertima; Prof. Dr. Lansine Kaba; Hoyt Fuller,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_567.mp4
AFR_video_568,1_x72ccg0k,4861575,AS&RC Conference Tape 8: Dr. Eleanor Traylor; Ms. Toni Cade Bambara; Dr. Stephen Henderson; Mr. George Kent,Dr. Eleanor Traylor; Ms. Toni Cade Bambara; Dr. Stephen Henderson; Mr. George Kent,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_568.mp4
AFR_video_569,1_1uzs598r,4861600,"AS&RC Conference Tape 9: Ms. Gayla Cook, Ms. Makila James, Mr. Robert Johnson Jr.","Cook, Gayla; James, Makila; Johnson Jr., Robert;",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_569.mp4
AFR_video_570,1_n6al0tvj,4861936,AS&RC Conference Tape 10: Kamu B. Kokayi; Dr. Andre McLaughlin; Ms. Janis McManus,Kamu B. Kokayi; Dr. Andre McLaughlin; Ms. Janis McManus,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_570.mp4
AFR_video_571,1_8cxtjrdx,4863726,AS&RC Conference Tape 11:  Ms. Delores M. Mortimer; Mr. Frank Scruggs; Mr. Hoyt Fuller; Prof. Michael Thelwell,Ms. Delores M. Mortimer; Mr. Frank Scruggs; Mr. Hoyt Fuller; Prof. Michael Thelwell,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_571.mp4
AFR_video_572,1_mb5xlk62,4863784,AS&RC Conference Tape 12: Prof. Michael Thelwell; Mr. George Lamming; Prof. D. Kunene,Prof. Michael Thelwell; Mr. George Lamming; Prof. D. Kunene,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_572.mp4
AFR_video_573,1_tzixudm5,4863801,AS&RC Conference Tape 14: Prof. Opoku Agyeman; Dr. W. Ofuatey-Kodjoe; Dr. Ronald Walters,Prof. Opoku Agyeman; Dr. W. Ofuatey-Kodjoe; Dr. Ronald Walters,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_573.mp4
